Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
BOTANNIA,"1,520,000","1,270.15","1,197",04 Dec 2020,29A WEST COAST PARK #02-17,Resale,Strata,118,"12,881",-,Condominium,1,956 yrs from 27/05/1928,2009,Private,127723,05,12,West Region,Clementi
REGENTVILLE,"950,000","1,151.75",825,04 Dec 2020,8 HOUGANG STREET 92 #14-05,Resale,Strata,107,"8,879",-,Apartment,1,99 yrs from 24/04/1996,1999,Private,538686,19,53,North East Region,Hougang
ESPARINA RESIDENCES,"1,550,000","1,679.18",923,04 Dec 2020,123 COMPASSVALE BOW #18-27,Resale,Strata,156,"9,936",-,Executive Condominium,1,99 yrs from 02/06/2010,2013,HDB,544819,19,54,North East Region,Sengkang
CHANGI GREEN,"1,240,000","1,216.33","1,019",04 Dec 2020,718A UPPER CHANGI ROAD EAST #03-03,Resale,Strata,113,"10,973",-,Condominium,1,Freehold,1998,Private,486850,16,48,East Region,Tampines
1 CANBERRA,"965,000","1,205.57",800,04 Dec 2020,3 CANBERRA DRIVE #01-07,Resale,Strata,112,"8,616",-,Executive Condominium,1,99 yrs from 30/01/2012,2015,HDB,768102,27,76,North Region,Yishun
SPRINGBROOK TERRACE,"2,250,000","1,669.5","1,348",04 Dec 2020,45 JALAN MARIAM,Resale,Land,155.1,"14,507",-,Terrace House,1,Freehold,1998,HDB,509323,17,50,East Region,Pasir Ris
LILYDALE,"852,000","1,270.15",671,04 Dec 2020,556 YISHUN AVENUE 6 #09-14,Resale,Strata,118,"7,220",-,Executive Condominium,1,99 yrs from 12/09/2000,2003,HDB,768964,27,76,North Region,Yishun
BEDOK RESIDENCES,"1,250,000",850.36,"1,470",04 Dec 2020,16 BEDOK NORTH DRIVE #08-07,Resale,Strata,79,"15,823",-,Apartment,1,99 yrs from 21/11/2011,2015,Private,465494,16,46,East Region,Bedok
LE CRESCENDO,"1,080,000",861.12,"1,254",04 Dec 2020,233 PAYA LEBAR ROAD #04-13,Resale,Strata,80,"13,500",-,Condominium,1,Freehold,2006,HDB,409044,14,40,Central Region,Geylang
THE HILLFORD,"475,000",398.27,"1,193",04 Dec 2020,170 JALAN JURONG KECHIL #02-04,Resale,Strata,37,"12,838",-,Apartment,1,60 yrs from 19/02/2013,2016,Private,596181,21,59,Central Region,Bukit Timah
KOVAN REGENCY,"860,000",645.84,"1,332",04 Dec 2020,2 KOVAN RISE #01-05,Resale,Strata,60,"14,333",-,Condominium,1,99 yrs from 24/04/2012,2015,HDB,544734,19,54,North East Region,Hougang
ARCHIPELAGO,"930,000",839.59,"1,108",04 Dec 2020,511 BEDOK RESERVOIR ROAD #03-41,Resale,Strata,78,"11,923",-,Condominium,1,99 yrs from 01/06/2011,2015,Private,479272,16,47,East Region,Bedok
GRANDEUR PARK RESIDENCES,"1,235,000",904.18,"1,366",04 Dec 2020,1 BEDOK SOUTH AVENUE 3 #15-14,Sub Sale,Strata,84,"14,702",-,Condominium,1,99 yrs from 25/05/2016,2020,HDB,465461,16,46,East Region,Bedok
THE WATERINA,"1,790,000","1,345.5","1,330",04 Dec 2020,57 LORONG 40 GEYLANG #04-18,Resale,Strata,125,"14,320",-,Apartment,1,Freehold,2005,Private,398081,14,39,Central Region,Geylang
TOH ESTATE,"4,850,000","5,462.73",888,04 Dec 2020,40 TOH CLOSE,Resale,Land,507.5,"9,557",-,Detached House,1,Freehold,-,Private,508012,17,50,East Region,Pasir Ris
THE WOODLEIGH RESIDENCES,"1,524,000",645.84,"2,360",05 Dec 2020,23 BIDADARI PARK DRIVE #10-34,New Sale,Strata,60,"25,400",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,N.A,367796,13,36,Central Region,Toa Payoh
AFFINITY AT SERANGOON,"1,372,000",904.18,"1,517",05 Dec 2020,26 SERANGOON NORTH AVENUE 1 #11-53,New Sale,Strata,84,"16,333",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,HDB,554340,19,55,North East Region,Serangoon
THE GARDEN RESIDENCES,"1,307,100",861.12,"1,518",05 Dec 2020,1 SERANGOON NORTH VIEW #02-03,New Sale,Strata,80,"16,339",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,N.A,554343,19,55,North East Region,Serangoon
